Hugo_Symbol	refseq.ID	protein.ID	aa.length
ACSL1	NM_001995	NP_001986	698
ACSL3	NM_004457	NP_004448	720
ACSL4	NM_022977	NP_075266	711
ACSL5	NM_016234	NP_057318	739
ACSL6	NM_015256	NP_056071	722
ACSM1	NM_052956	NP_443188	577
ACSM2A	NM_001010845	NP_001010845	577
ACSM2B	NM_182617	NP_872423	577
ACSM3	NM_005622	NP_005613	586
ACSM4	NM_001080454	NP_001073923	580
ACSM5	NM_017888	NP_060358	579
ACSS1	NM_032501	NP_115890	689
ACSS2	NM_001076552	NP_001070020	714
ACSS3	NM_024560	NP_078836	686
ACTA1	NM_001100	NP_001091	377
ACTA2	NM_001141945	NP_001135417	377
ACTB	NM_001101	NP_001092	375
ACTBL2	NM_001017992	NP_001017992	376
ACTC1	NM_005159	NP_005150	377
ACTG1	NM_001614	NP_001605	375
ACTG2	NM_001615	NP_001606	376
ACTL10	NM_001024675	NP_001019846	245
ACTL6A	NM_004301	NP_004292	429
ACTL6B	NM_016188	NP_057272	426
ACTL7A	NM_006687	NP_006678	435
ACTL7B	NM_006686	NP_006677	415
ACTL8	NM_030812	NP_110439	366
ACTL9	NM_178525	NP_848620	416
ACTN1	NM_001130004	NP_001123476	914
ACTN2	NM_001103	NP_001094	894
ACTN3	NM_001258371	NP_001245300	944
ACTN4	NM_004924	NP_004915	911
ACTR10	NM_018477	NP_060947	417
ACTR1A	NM_005736	NP_005727	376
ACTR1B	NM_005735	NP_005726	376
ACTR2	NM_001005386	NP_001005386	399
ACTR3	NM_005721	NP_005712	418
ACTR3B	NM_020445	NP_065178	418
ACTR3C	NM_001164458	NP_001157930	210
ACTR5	NM_024855	NP_079131	607
ACTR6	NM_022496	NP_071941	396
ACTR8	NM_022899	NP_075050	624
ACTRT1	NM_138289	NP_612146	376
ACTRT2	NM_080431	NP_536356	377
ACTRT3	NM_032487	NP_115876	372
ACVR1	NM_001105	NP_001096	509
ACVR1B	NM_020328	NP_064733	546
ACVR1C	NM_145259	NP_660302	493
ACVR2A	NM_001616	NP_001607	513
ACVR2B	NM_001106	NP_001097	512
ACVRL1	NM_000020	NP_000011	503
ACY1	NM_000666	NP_000657	408
ACY3	NM_080658	NP_542389	319
ACYP1	NM_001107	NP_001098	99
ACYP2	NM_138448	NP_612457	99
ADA	NM_000022	NP_000013	363
ADAD1	NM_139243	NP_640336	576
ADAD2	NM_139174	NP_631913	665
ADAL	NM_001159280	NP_001152752	328
ADAM10	NM_001110	NP_001101	748
ADAM11	NM_002390	NP_002381	769
ADAM12	NM_003474	NP_003465	909
ADAM15	NM_207197	NP_997080	863
ADAM17	NM_003183	NP_003174	824
ADAM18	NM_014237	NP_055052	739
ADAM19	NM_033274	NP_150377	918
ADAM2	NM_001464	NP_001455	735
ADAM20	NM_003814	NP_003805	776
ADAM21	NM_003813	NP_003804	722
ADAM22	NM_021723	NP_068369	906
ADAM23	NM_003812	NP_003803	832
ADAM28	NM_014265	NP_055080	775
ADAM29	NM_014269	NP_055084	820
ADAM30	NM_021794	NP_068566	790
ADAM32	NM_145004	NP_659441	787
ADAM33	NM_025220	NP_079496	813
ADAM7	NM_003817	NP_003808	754
ADAM8	NM_001109	NP_001100	824
ADAM9	NM_003816	NP_003807	819
ADAMDEC1	NM_014479	NP_055294	470
ADAMTS1	NM_006988	NP_008919	967
ADAMTS10	NM_030957	NP_112219	1103
ADAMTS12	NM_030955	NP_112217	1594
ADAMTS13	NM_139025	NP_620594	1427
ADAMTS14	NM_139155	NP_631894	1226
ADAMTS15	NM_139055	NP_620686	950
ADAMTS16	NM_139056	NP_620687	1224
ADAMTS17	NM_139057	NP_620688	1095
ADAMTS18	NM_199355	NP_955387	1221
ADAMTS19	NM_133638	NP_598377	1207
ADAMTS2	NM_014244	NP_055059	1211
ADAMTS20	NM_025003	NP_079279	1910
ADAMTS3	NM_014243	NP_055058	1205
ADAMTS4	NM_005099	NP_005090	837
ADAMTS5	NM_007038	NP_008969	930
ADAMTS6	NM_197941	NP_922932	1117
ADAMTS7	NM_014272	NP_055087	1686
ADAMTS8	NM_007037	NP_008968	889
ADAMTS9	NM_182920	NP_891550	1935
ADAMTSL1	NM_001040272	NP_001035362	1762
ADAMTSL2	NM_014694	NP_055509	951
ADAMTSL3	NM_207517	NP_997400	1691
ADAMTSL4	NM_019032	NP_061905	1074
ADAMTSL5	NM_213604	NP_998769	471
ADAP1	NM_006869	NP_006860	374
ADAP2	NM_018404	NP_060874	381
ADAR	NM_001111	NP_001102	1226
ADARB1	NM_015833	NP_056648	741
ADARB2	NM_018702	NP_061172	739
ADAT1	NM_012091	NP_036223	502
ADAT2	NM_182503	NP_872309	191
ADAT3	NM_138422	NP_612431	367
ADC	NM_052998	NP_443724	460
ADCK1	NM_020421	NP_065154	523
ADCK2	NM_052853	NP_443085	626
ADCK3	NM_020247	NP_064632	647
ADCK4	NM_024876	NP_079152	544
ADCK5	NM_174922	NP_777582	580
ADCY1	NM_021116	NP_066939	1119
ADCY10	NM_018417	NP_060887	1610
ADCY2	NM_020546	NP_065433	1091
ADCY3	NM_004036	NP_004027	1144
ADCY4	NM_001198592	NP_001185521	1077
ADCY5	NM_183357	NP_899200	1261
ADCY6	NM_015270	NP_056085	1168
ADCY7	NM_001114	NP_001105	1080
ADCY8	NM_001115	NP_001106	1251
ADCY9	NM_001116	NP_001107	1353
ADCYAP1	NM_001099733	NP_001093203	176
ADCYAP1R1	NM_001199635	NP_001186564	496
ADD1	NM_014189	NP_054908	768
ADD2	NM_001617	NP_001608	726
ADD3	NM_016824	NP_058432	706
ADGB	NM_024694	NP_078970	1667
ADH1A	NM_000667	NP_000658	375
ADH1B	NM_000668	NP_000659	375
ADH1C	NM_000669	NP_000660	375
ADH4	NM_000670	NP_000661	380
ADH5	NM_000671	NP_000662	374
ADH6	NM_001102470	NP_001095940	375
ADH7	NM_001166504	NP_001159976	394
ADHFE1	NM_144650	NP_653251	467
ADI1	NM_018269	NP_060739	179
ADIPOQ	NM_001177800	NP_001171271	244
ADIPOR1	NM_015999	NP_057083	375
ADIPOR2	NM_024551	NP_078827	386
ADK	NM_006721	NP_006712	362
ADM	NM_001124	NP_001115	185
ADNP	NM_181442	NP_852107	1102
ADNP2	NM_014913	NP_055728	1131
ADO	NM_032804	NP_116193	270
ADORA1	NM_001048230	NP_001041695	326
ADORA2A	NM_000675	NP_000666	412
ADORA2B	NM_000676	NP_000667	332
ADORA3	NM_020683	NP_065734	347
ADPGK	NM_031284	NP_112574	496
ADPRH	NM_001125	NP_001116	357
ADPRHL1	NM_138430	NP_612439	354
ADPRHL2	NM_017825	NP_060295	363
ADPRM	NM_020233	NP_064618	342
ADRA1A	NM_033303	NP_150646	475
ADRA1B	NM_000679	NP_000670	520
ADRA1D	NM_000678	NP_000669	572
ADRA2A	NM_000681	NP_000672	465
ADRA2B	NM_000682	NP_000673	450
ADRA2C	NM_000683	NP_000674	462
ADRB1	NM_000684	NP_000675	477
ADRB2	NM_000024	NP_000015	413
ADRB3	NM_000025	NP_000016	408
ADRBK1	NM_001619	NP_001610	689
ADRBK2	NM_005160	NP_005151	688
ADRM1	NM_007002	NP_008933	407
ADSL	NM_000026	NP_000017	484
ADSS	NM_001126	NP_001117	456
ADSSL1	NM_199165	NP_954634	500
ADTRP	NM_001143948	NP_001137420	248
AEBP1	NM_001129	NP_001120	1158
AEBP2	NM_001114176	NP_001107648	517
AEN	NM_022767	NP_073604	325
AES	NM_198969	NP_945320	264
AFAP1	NM_001134647	NP_001128119	814
AFAP1L1	NM_152406	NP_689619	768
AFAP1L2	NM_001001936	NP_001001936	818
AFF1	NM_001166693	NP_001160165	1218
AFF2	NM_002025	NP_002016	1311
AFF3	NM_001025108	NP_001020279	1251
AFF4	NM_014423	NP_055238	1163
AFG3L2	NM_006796	NP_006787	797
AFM	NM_001133	NP_001124	599
AFMID	NM_001145526	NP_001138998	308
AFP	NM_001134	NP_001125	609
AGA	NM_000027	NP_000018	346
AGAP1	NM_001037131	NP_001032208	857
AGAP11	NM_133447	NP_597704	550
AGAP2	NM_001122772	NP_001116244	1192
AGAP3	NM_031946	NP_114152	911
AGAP4	NM_133446	NP_597703	663
AGAP5	NM_001144000	NP_001137472	686
AGAP6	NM_001077665	NP_001071133	686
AGAP7	NM_001077685	NP_001071153	663
AGAP8	NM_001077686	NP_001071154	663
AGAP9	NM_001190810	NP_001177739	658
AGBL1	NM_152336	NP_689549	1066
AGBL2	NM_024783	NP_079059	902
AGBL3	NM_178563	NP_848658	920
AGBL4	NM_032785	NP_116174	503
AGBL5	NM_021831	NP_068603	886
AGER	NM_001206929	NP_001193858	420
AGFG1	NM_001135187	NP_001128659	584
AGFG2	NM_006076	NP_006067	481
AGGF1	NM_018046	NP_060516	714
AGK	NM_018238	NP_060708	422
AGL	NM_000028	NP_000019	1532
AGMAT	NM_024758	NP_079034	352
AGMO	NM_001004320	NP_001004320	445
AGPAT1	NM_032741	NP_116130	283
AGPAT2	NM_006412	NP_006403	278
AGPAT3	NM_001037553	NP_001032642	376
AGPAT4	NM_020133	NP_064518	378
AGPAT5	NM_018361	NP_060831	364
AGPAT6	NM_178819	NP_848934	456
AGPAT9	NM_001256421	NP_001243350	434
AGPHD1	NM_001013619	NP_001013641	373
AGPS	NM_003659	NP_003650	658
AGR2	NM_006408	NP_006399	175
AGR3	NM_176813	NP_789783	166
AGRN	NM_198576	NP_940978	2045
AGRP	NM_001138	NP_001129	132
AGT	NM_000029	NP_000020	485
AGTPBP1	NM_015239	NP_056054	1186
AGTR1	NM_004835	NP_004826	394
AGTR2	NM_000686	NP_000677	363
AGTRAP	NM_020350	NP_065083	159
AGXT	NM_000030	NP_000021	392
AGXT2	NM_031900	NP_114106	514
AGXT2L1	NM_031279	NP_112569	499
AGXT2L2	NM_153373	NP_699204	450
AHCTF1	NM_015446	NP_056261	2275
AHCY	NM_000687	NP_000678	432
AHCYL1	NM_006621	NP_006612	530
AHCYL2	NM_015328	NP_056143	611
AHDC1	NM_001029882	NP_001025053	1603
AHI1	NM_017651	NP_060121	1196
AHNAK	NM_001620	NP_001611	5890
AHNAK2	NM_138420	NP_612429	5795
AHR	NM_001621	NP_001612	848
AHRR	NM_020731	NP_065782	719
AHSA1	NM_012111	NP_036243	338
AHSA2	NM_152392	NP_689605	137
AHSG	NM_001622	NP_001613	367
AHSP	NM_016633	NP_057717	102
AICDA	NM_020661	NP_065712	198
AIDA	NM_022831	NP_073742	306
AIF1	NM_001623	NP_001614	147
AIF1L	NM_001185095	NP_001172024	176
AIFM1	NM_004208	NP_004199	613
AIFM2	NM_001198696	NP_001185625	373
AIFM3	NM_144704	NP_653305	605
AIG1	NM_016108	NP_057192	238
AIM1	NM_001624	NP_001615	1723
AIM1L	NM_001039775	NP_001034864	1661
AIM2	NM_004833	NP_004824	343
AIMP1	NM_001142416	NP_001135888	336
AIMP2	NM_006303	NP_006294	320
AIP	NM_003977	NP_003968	330
AIPL1	NM_014336	NP_055151	384
AIRE	NM_000383	NP_000374	545
AJUBA	NM_032876	NP_116265	538
AK1	NM_000476	NP_000467	194
AK2	NM_001625	NP_001616	239
AK3	NM_016282	NP_057366	227
AK4	NM_203464	NP_982289	223
AK5	NM_174858	NP_777283	562
AK7	NM_152327	NP_689540	723
AK8	NM_152572	NP_689785	479
AKAP1	NM_003488	NP_003479	903
AKAP10	NM_007202	NP_009133	662
AKAP11	NM_016248	NP_057332	1901
AKAP12	NM_005100	NP_005091	1782
AKAP13	NM_006738	NP_006729	2817
AKAP14	NM_178813	NP_848928	197
AKAP17A	NM_005088	NP_005079	695
AKAP3	NM_006422	NP_006413	853
AKAP4	NM_003886	NP_003877	854
AKAP5	NM_004857	NP_004848	427
AKAP6	NM_004274	NP_004265	2319
AKAP7	NM_016377	NP_057461	348
AKAP8	NM_005858	NP_005849	692
AKAP8L	NM_014371	NP_055186	646
AKAP9	NM_005751	NP_005742	3907
AKD1	NM_001145128	NP_001138600	1911
AKNA	NM_030767	NP_110394	1439
AKNAD1	NM_152763	NP_689976	836
AKR1A1	NM_001202414	NP_001189343	325
AKR1B1	NM_001628	NP_001619	316
AKR1B10	NM_020299	NP_064695	316
AKR1B15	NM_001080538	NP_001074007	344
AKR1C1	NM_001353	NP_001344	323
AKR1C2	NM_001354	NP_001345	323
AKR1C3	NM_001253908	NP_001240837	323
AKR1C4	NM_001818	NP_001809	323
AKR1D1	NM_005989	NP_005980	326
AKR1E2	NM_001040177	NP_001035267	320
AKR7A2	NM_003689	NP_003680	359
AKR7A3	NM_012067	NP_036199	331
AKT1	NM_005163	NP_005154	480
AKT2	NM_001626	NP_001617	481
AKT3	NM_005465	NP_005456	479
AKTIP	NM_022476	NP_071921	292
ALAD	NM_000031	NP_000022	330
ALAS1	NM_000688	NP_000679	640
ALAS2	NM_000032	NP_000023	587
ALB	NM_000477	NP_000468	609
ALCAM	NM_001627	NP_001618	583
ALDH16A1	NM_153329	NP_699160	802
ALDH18A1	NM_002860	NP_002851	795
ALDH1A1	NM_000689	NP_000680	501
ALDH1A2	NM_003888	NP_003879	518
ALDH1A3	NM_000693	NP_000684	512
ALDH1B1	NM_000692	NP_000683	517
ALDH1L1	NM_001270364	NP_001257293	912
ALDH1L2	NM_001034173	NP_001029345	923
ALDH2	NM_000690	NP_000681	517
ALDH3A1	NM_000691	NP_000682	453
ALDH3A2	NM_001031806	NP_001026976	508
ALDH3B1	NM_001161473	NP_001154945	468
ALDH3B2	NM_000695	NP_000686	385
ALDH4A1	NM_003748	NP_003739	563
ALDH5A1	NM_170740	NP_733936	548
ALDH6A1	NM_005589	NP_005580	535
ALDH7A1	NM_001182	NP_001173	539
ALDH8A1	NM_022568	NP_072090	487
ALDH9A1	NM_000696	NP_000687	518
ALDOA	NM_001243177	NP_001230106	418
ALDOB	NM_000035	NP_000026	364
ALDOC	NM_005165	NP_005156	364
ALG1	NM_019109	NP_061982	464
ALG10	NM_032834	NP_116223	473
ALG10B	NM_001013620	NP_001013642	473
ALG11	NM_001004127	NP_001004127	492
ALG12	NM_024105	NP_077010	488
ALG13	NM_001099922	NP_001093392	1137
ALG14	NM_144988	NP_659425	216
ALG1L	NM_001195223	NP_001182152	207
ALG1L2	NM_001136152	NP_001129624	215
ALG2	NM_033087	NP_149078	416
ALG3	NM_005787	NP_005778	438
ALG5	NM_013338	NP_037470	324
ALG6	NM_013339	NP_037471	507
ALG8	NM_024079	NP_076984	526
ALG9	NM_024740	NP_079016	618
ALK	NM_004304	NP_004295	1620
ALKBH1	NM_006020	NP_006011	389
ALKBH2	NM_001145374	NP_001138846	261
ALKBH3	NM_139178	NP_631917	286
ALKBH5	NM_017758	NP_060228	394
ALKBH6	NM_032878	NP_116267	266
ALKBH7	NM_032306	NP_115682	221
ALKBH8	NM_138775	NP_620130	664
ALLC	NM_018436	NP_060906	391
ALOX12	NM_000697	NP_000688	663
ALOX12B	NM_001139	NP_001130	701
ALOX15	NM_001140	NP_001131	662
ALOX15B	NM_001141	NP_001132	676
ALOX5	NM_000698	NP_000689	674
ALOX5AP	NM_001204406	NP_001191335	218
ALOXE3	NM_001165960	NP_001159432	843
ALPI	NM_001631	NP_001622	528
ALPK1	NM_025144	NP_079420	1244
ALPK2	NM_052947	NP_443179	2170
ALPK3	NM_020778	NP_065829	1907
ALPL	NM_000478	NP_000469	524
ALPP	NM_001632	NP_001623	535
ALPPL2	NM_031313	NP_112603	532
ALS2	NM_020919	NP_065970	1657
ALS2CL	NM_147129	NP_667340	953
ALX1	NM_006982	NP_008913	326
ALX3	NM_006492	NP_006483	343
ALX4	NM_021926	NP_068745	411
ALYREF	NM_005782	NP_005773	264
AMACR	NM_001167595	NP_001161067	394
AMBN	NM_016519	NP_057603	447
AMBP	NM_001633	NP_001624	352
AMBRA1	NM_001267782	NP_001254711	1301
AMD1	NM_001634	NP_001625	334
AMDHD1	NM_152435	NP_689648	426
AMDHD2	NM_001145815	NP_001139287	594
AMELX	NM_182680	NP_872621	205
AMELY	NM_001143	NP_001134	192
AMFR	NM_001144	NP_001135	643
AMH	NM_000479	NP_000470	560
AMHR2	NM_020547	NP_065434	573
AMICA1	NM_001098526	NP_001091996	394
AMIGO1	NM_020703	NP_065754	493
AMIGO2	NM_181847	NP_862830	522
AMIGO3	NM_198722	NP_942015	504
AMMECR1	NM_015365	NP_056180	333
AMMECR1L	NM_001199140	NP_001186069	310
AMN1	NM_001113402	NP_001106873	258
AMOT	NM_001113490	NP_001106962	1084
AMOTL1	NM_130847	NP_570899	956
AMOTL2	NM_016201	NP_057285	780
AMPD1	NM_000036	NP_000027	780
AMPD2	NM_004037	NP_004028	879
AMPD3	NM_000480	NP_000471	776
AMPH	NM_001635	NP_001626	695
AMT	NM_000481	NP_000472	403
AMY1A	NM_001008221	NP_001008222	511
AMY1B	NM_001008218	NP_001008219	511
AMY1C	NM_001008219	NP_001008220	511
AMY2A	NM_000699	NP_000690	511
AMY2B	NM_020978	NP_066188	511
AMZ1	NM_133463	NP_597720	498
AMZ2	NM_016627	NP_057711	360
ANAPC1	NM_022662	NP_073153	1944
ANAPC10	NM_001256709	NP_001243638	196
ANAPC11	NM_001002244	NP_001002244	196
ANAPC13	NM_015391	NP_056206	74
ANAPC2	NM_013366	NP_037498	822
ANAPC4	NM_013367	NP_037499	808
ANAPC5	NM_016237	NP_057321	755
ANAPC7	NM_016238	NP_057322	599
ANG	NM_001145	NP_001136	147
ANGEL1	NM_015305	NP_056120	670
ANGEL2	NM_144567	NP_653168	544
ANGPT1	NM_001146	NP_001137	498
ANGPT2	NM_001147	NP_001138	496
ANGPT4	NM_015985	NP_057069	503
ANGPTL1	NM_004673	NP_004664	491
ANGPTL2	NM_012098	NP_036230	493
ANGPTL3	NM_014495	NP_055310	460
ANGPTL4	NM_139314	NP_647475	406
ANGPTL5	NM_178127	NP_835228	388
ANGPTL6	NM_031917	NP_114123	470
ANGPTL7	NM_021146	NP_066969	346
ANHX	NM_001191054	NP_001177983	379
ANK1	NM_001142446	NP_001135918	1897
ANK2	NM_001148	NP_001139	3957
ANK3	NM_020987	NP_066267	4377
ANKAR	NM_144708	NP_653309	1434
ANKDD1A	NM_182703	NP_874362	522
ANKDD1B	NM_001271529	NP_001258458	462
ANKFN1	NM_153228	NP_694960	763
ANKFY1	NM_001257999	NP_001244928	1211
ANKH	NM_054027	NP_473368	492
ANKHD1	NM_017747	NP_060217	2542
ANKHD1-EIF4EBP3	NM_020690	NP_065741	2617
ANKIB1	NM_019004	NP_061877	1089
ANKK1	NM_178510	NP_848605	765
ANKLE1	NM_152363	NP_689576	615
ANKLE2	NM_015114	NP_055929	938
ANKMY1	NM_016552	NP_057636	941
ANKMY2	NM_020319	NP_064715	441
ANKRA2	NM_023039	NP_075526	313
ANKRD1	NM_014391	NP_055206	319
ANKRD10	NM_017664	NP_060134	420
ANKRD11	NM_001256182	NP_001243111	2663
ANKRD12	NM_015208	NP_056023	2062
ANKRD13A	NM_033121	NP_149112	590
ANKRD13B	NM_152345	NP_689558	626
ANKRD13C	NM_030816	NP_110443	541
ANKRD13D	NM_207354	NP_997237	605
ANKRD16	NM_019046	NP_061919	361
ANKRD17	NM_032217	NP_115593	2603
ANKRD18A	NM_147195	NP_671728	992
ANKRD18B	NM_001244752	NP_001231681	1010
ANKRD2	NM_020349	NP_065082	360
ANKRD20A1	NM_032250	NP_115626	823
ANKRD20A2	NM_001012421	NP_001012421	823
ANKRD20A3	NM_001012419	NP_001012419	823
ANKRD20A4	NM_001098805	NP_001092275	823
ANKRD22	NM_144590	NP_653191	191
ANKRD23	NM_144994	NP_659431	305
ANKRD24	NM_133475	NP_597732	1146
ANKRD26	NM_014915	NP_055730	1710
ANKRD27	NM_032139	NP_115515	1050
ANKRD28	NM_015199	NP_056014	1053
ANKRD29	NM_173505	NP_775776	301
ANKRD30A	NM_052997	NP_443723	1341
ANKRD30B	NM_001145029	NP_001138501	1392
ANKRD31	NM_001164443	NP_001157915	1873
ANKRD32	NM_032290	NP_115666	1058
ANKRD33	NM_182608	NP_872414	452
ANKRD33B	NM_001164440	NP_001157912	494
ANKRD34A	NM_001039888	NP_001034977	496
ANKRD34B	NM_001004441	NP_001004441	514
ANKRD34C	NM_001146341	NP_001139813	535
ANKRD35	NM_144698	NP_653299	1001
ANKRD36	NM_001164315	NP_001157787	1941
ANKRD36B	NM_025190	NP_079466	1353
ANKRD37	NM_181726	NP_859077	158
ANKRD39	NM_016466	NP_057550	183
ANKRD40	NM_052855	NP_443087	368
ANKRD42	NM_182603	NP_872409	389
ANKRD44	NM_001195144	NP_001182073	993
ANKRD45	NM_198493	NP_940895	266
ANKRD46	NM_001270379	NP_001257308	232
ANKRD49	NM_017704	NP_060174	239
