Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AB-3009	1	152555706	152586594	35	0.4155
TCGA-AB-3009	1	152590494	174795938	15073	0.0035
TCGA-AB-3009	1	174796266	174803773	33	0.4244
TCGA-AB-3009	1	174804979	175486847	467	0.0067
TCGA-AB-3009	1	175486921	175488501	3	-1.575
TCGA-AB-3009	1	175489023	196732086	14169	-0.0058
TCGA-AB-3009	1	196738623	196758159	35	-0.7638
TCGA-AB-3009	1	196759274	196791043	31	0.0516
TCGA-AB-3009	1	196798565	196828938	37	-0.6298
TCGA-AB-3009	1	196831324	199111363	1368	-0.0023
TCGA-AB-3009	1	199111426	199113840	8	-0.9726
TCGA-AB-3009	1	199114238	212999819	9375	0.0032
TCGA-AB-3009	1	213004455	213006397	7	-0.9595
TCGA-AB-3009	1	213010436	243048740	21305	0.0021
TCGA-AB-3009	1	243049874	243059774	38	0.6142
TCGA-AB-3009	1	243062601	249224388	3808	0.0037
TCGA-AB-3009	2	12784	99260	41	0.4596
TCGA-AB-3009	2	99911	18178394	13519	0.0039
TCGA-AB-3009	2	18179128	18180103	5	-0.9905
TCGA-AB-3009	2	18180370	33058768	9257	0.007
TCGA-AB-3009	2	33059096	33101818	28	0.4357
TCGA-AB-3009	2	33101908	34646409	1233	0.0112
TCGA-AB-3009	2	34648698	34737057	63	-0.452
TCGA-AB-3009	2	34737163	36533822	1349	-0.0213
TCGA-AB-3009	2	36534484	36535343	2	1.7862
TCGA-AB-3009	2	36541348	41238127	3470	0.0142
TCGA-AB-3009	2	41238139	41251278	29	-0.7251
TCGA-AB-3009	2	41251724	52754881	8191	-0.0139
TCGA-AB-3009	2	52758753	52781326	26	-0.7172
TCGA-AB-3009	2	52781374	68088168	10102	0.0059
TCGA-AB-3009	2	68088399	68163903	43	0.4914
TCGA-AB-3009	2	68165637	98118212	13941	-0.0095
TCGA-AB-3009	2	98140747	98187302	18	-0.6909
TCGA-AB-3009	2	98190149	106874722	5564	1e-04
TCGA-AB-3009	2	106880095	106887408	14	0.8089
TCGA-AB-3009	2	106887870	108507437	999	-0.0316
TCGA-AB-3009	2	108508052	108520376	2	1.6001
TCGA-AB-3009	2	108526039	110477250	1112	0.0126
TCGA-AB-3009	2	110501512	110955643	69	0.2523
TCGA-AB-3009	2	110960226	114324438	1656	0.0031
TCGA-AB-3009	2	114324463	114383552	9	0.6396
TCGA-AB-3009	2	114384353	117579576	1940	-0.0184
TCGA-AB-3009	2	117585649	117672004	43	-0.3013
TCGA-AB-3009	2	117673834	123479951	3720	0.0011
TCGA-AB-3009	2	123481713	123482241	7	-1.2414
TCGA-AB-3009	2	123483653	126442223	1946	-0.034
TCGA-AB-3009	2	126451651	126451913	2	-2.754
TCGA-AB-3009	2	126451932	130817339	2835	0.0069
TCGA-AB-3009	2	130817360	130826342	8	0.8459
TCGA-AB-3009	2	130849237	146866266	9603	0.0054
TCGA-AB-3009	2	146866393	146878475	13	-0.6947
TCGA-AB-3009	2	146878532	163821333	10095	2e-04
TCGA-AB-3009	2	163826339	163839108	19	-0.4524
TCGA-AB-3009	2	163848347	180419753	10397	0.0063
TCGA-AB-3009	2	180420443	180421497	10	-1.0041
TCGA-AB-3009	2	180421512	211607852	18424	-0.0024
TCGA-AB-3009	2	211608583	211610923	3	-1.2672
TCGA-AB-3009	2	211611355	232369401	13519	-0.0019
TCGA-AB-3009	2	232375230	232389301	10	0.7414
TCGA-AB-3009	2	232392969	233294239	469	0.0373
TCGA-AB-3009	2	233302835	233318078	6	0.8368
TCGA-AB-3009	2	233318732	233630787	180	-0.0143
TCGA-AB-3009	2	233636450	233645568	7	-0.7748
TCGA-AB-3009	2	233648154	235922791	1630	-0.0018
TCGA-AB-3009	2	235922973	235950187	21	0.5578
TCGA-AB-3009	2	235953565	240328213	2871	0.006
TCGA-AB-3009	2	240329646	240333093	2	1.2644
TCGA-AB-3009	2	240337482	241677264	869	0.0184
TCGA-AB-3009	2	241684692	241735604	18	0.5855
TCGA-AB-3009	2	241735660	243089456	588	0.0712
TCGA-AB-3009	3	60345	10192929	8632	-0.0132
TCGA-AB-3009	3	10192948	10287360	84	0.3419
TCGA-AB-3009	3	10288106	13607746	2463	0.0193
TCGA-AB-3009	3	13608162	13621911	12	0.5747
TCGA-AB-3009	3	13624899	21259018	4718	0.0025
TCGA-AB-3009	3	21259194	21260370	4	-1.3484
TCGA-AB-3009	3	21261025	22078168	731	-0.0444
TCGA-AB-3009	3	22080291	22084316	8	-1.1519
TCGA-AB-3009	3	22084531	22175935	92	-0.0599
TCGA-AB-3009	3	22181173	22181182	2	1.8103
TCGA-AB-3009	3	22181446	26378257	3150	0.0033
TCGA-AB-3009	3	26384844	26385709	2	-1.6135
TCGA-AB-3009	3	26386765	29433099	2079	0.006
TCGA-AB-3009	3	29437405	29438408	4	-1.1662
TCGA-AB-3009	3	29438500	46793377	11257	0.0055
TCGA-AB-3009	3	46801817	46849179	39	-1.1191
TCGA-AB-3009	3	46849589	53023211	2496	-9e-04
TCGA-AB-3009	3	53028375	53032038	13	0.5607
TCGA-AB-3009	3	53033148	59945727	4831	0.0048
TCGA-AB-3009	3	59946384	59946469	2	-1.7828
TCGA-AB-3009	3	59946710	60775460	975	-0.0047
TCGA-AB-3009	3	60777932	60781027	5	-1.276
TCGA-AB-3009	3	60784223	61606237	697	0.0161
TCGA-AB-3009	3	61612245	61615972	8	0.7182
TCGA-AB-3009	3	61615985	65199568	3090	-0.0015
TCGA-AB-3009	3	65199702	65216830	31	0.4056
TCGA-AB-3009	3	65217656	75449614	7311	0.0012
TCGA-AB-3009	3	75449833	75620895	67	0.446
TCGA-AB-3009	3	75638741	85452964	5448	-0.0125
TCGA-AB-3009	3	85457798	85577197	67	-0.366
TCGA-AB-3009	3	85577233	129786739	24263	1e-04
TCGA-AB-3009	3	129786753	129806236	42	-1.4758
TCGA-AB-3009	3	129806924	131706696	1173	0.0159
TCGA-AB-3009	3	131708157	131708471	2	-2.6091
TCGA-AB-3009	3	131714999	137033060	3333	0.011
TCGA-AB-3009	3	137033260	137033433	11	0.8876
TCGA-AB-3009	3	137041493	146376541	5880	-0.0026
TCGA-AB-3009	3	146378529	146450372	42	-0.375
TCGA-AB-3009	3	146461800	150522700	2417	-0.0143
TCGA-AB-3009	3	150523205	150562783	25	0.4217
TCGA-AB-3009	3	150563695	162490482	7383	0.0022
TCGA-AB-3009	3	162490957	162521623	31	-0.4082
TCGA-AB-3009	3	162524858	176694888	8759	-0.0213
TCGA-AB-3009	3	176694957	176708655	24	0.4219
TCGA-AB-3009	3	176708781	178121200	810	-0.0027
TCGA-AB-3009	3	178122321	178126597	3	-1.9107
TCGA-AB-3009	3	178128635	178887634	506	-0.0084
TCGA-AB-3009	3	178887923	178888165	7	-1.3039
TCGA-AB-3009	3	178892224	183280319	2524	0.0032
TCGA-AB-3009	3	183291162	183295294	5	1.0794
TCGA-AB-3009	3	183296543	186386425	1837	0.0265
TCGA-AB-3009	3	186386559	186415534	43	-0.9774
TCGA-AB-3009	3	186416009	192873704	4726	-0.0153
TCGA-AB-3009	3	192873807	192882903	22	1.5206
TCGA-AB-3009	3	192886435	197848644	2694	0.0244
TCGA-AB-3009	3	197848659	197896118	12	0.7416
TCGA-AB-3009	4	12281	46834	38	0.434
TCGA-AB-3009	4	47099	65978	19	-0.0964
TCGA-AB-3009	4	66719	74983	11	0.6267
TCGA-AB-3009	4	75023	3879618	1574	0.0409
TCGA-AB-3009	4	3885808	4166518	73	0.2879
TCGA-AB-3009	4	4166983	7431468	2595	0.0189
TCGA-AB-3009	4	7432402	7466466	36	0.4249
TCGA-AB-3009	4	7466980	8705387	827	0.0217
TCGA-AB-3009	4	8705504	9390930	29	0.3278
TCGA-AB-3009	4	9391271	9397485	9	-0.3965
TCGA-AB-3009	4	9401132	9456977	36	0.291
TCGA-AB-3009	4	9461230	9478849	6	1.8156
TCGA-AB-3009	4	9479035	29855358	14646	-1e-04
TCGA-AB-3009	4	29857785	29858696	4	-2.0315
TCGA-AB-3009	4	29860287	32466129	1618	-0.0142
TCGA-AB-3009	4	32467188	32517954	32	-0.3714
TCGA-AB-3009	4	32518085	34765183	1254	-0.0146
TCGA-AB-3009	4	34765595	34841295	60	-0.3945
TCGA-AB-3009	4	34841364	36011393	761	-0.0018
TCGA-AB-3009	4	36011629	36012853	2	-2.0779
TCGA-AB-3009	4	36013141	40704011	3112	0.0082
TCGA-AB-3009	4	40704145	40704192	2	-2.4063
TCGA-AB-3009	4	40704687	49088640	5070	-0.0133
TCGA-AB-3009	4	49089359	49650106	38	0.3715
TCGA-AB-3009	4	49655363	60630470	5269	0.0066
TCGA-AB-3009	4	60630547	60630730	2	-1.7831
TCGA-AB-3009	4	60630767	61348950	428	0.0057
TCGA-AB-3009	4	61349646	61352182	3	-0.8607
TCGA-AB-3009	4	61352529	61936938	375	0.0057
TCGA-AB-3009	4	61940935	61950836	7	-1.1861
TCGA-AB-3009	4	61950865	63667834	934	0.0012
TCGA-AB-3009	4	63669936	63671662	8	-1.7285
TCGA-AB-3009	4	63679630	69338564	3459	-0.0057
TCGA-AB-3009	4	69344612	69536788	76	0.4725
TCGA-AB-3009	4	69537152	70123510	321	-0.1009
TCGA-AB-3009	4	70127644	70229434	53	-0.685
TCGA-AB-3009	4	70231799	77783901	4605	-0.0021
TCGA-AB-3009	4	77783954	77784690	8	-0.7706
TCGA-AB-3009	4	77784814	96245748	11326	0.0069
TCGA-AB-3009	4	96246506	96247596	15	-1.1312
TCGA-AB-3009	4	96248616	103328547	4261	0.0017
TCGA-AB-3009	4	103328943	103329490	2	-1.6203
TCGA-AB-3009	4	103332894	115173700	7135	-1e-04
TCGA-AB-3009	4	115175323	115182175	23	0.9694
TCGA-AB-3009	4	115184229	137938715	13141	-0.0102
TCGA-AB-3009	4	137938807	137939504	9	-0.8083
TCGA-AB-3009	4	137939776	138108363	128	-0.0355
TCGA-AB-3009	4	138108487	138126941	14	-0.6586
TCGA-AB-3009	4	138127817	141249662	2172	-0.0055
TCGA-AB-3009	4	141250035	141275616	18	0.3268
TCGA-AB-3009	4	141276725	141281628	7	0.6221
TCGA-AB-3009	4	141284486	141299074	6	0.3322
TCGA-AB-3009	4	141304557	143705673	1539	0.0066
TCGA-AB-3009	4	143706952	143721371	7	-0.6193
TCGA-AB-3009	4	143722368	143793797	46	0.0021
TCGA-AB-3009	4	143793939	143794549	7	-0.8764
TCGA-AB-3009	4	143794766	161062935	10333	0.0041
TCGA-AB-3009	4	161062969	161067027	10	-0.7611
TCGA-AB-3009	4	161067090	161874000	606	-0.0074
TCGA-AB-3009	4	161880018	161884908	21	-0.9675
TCGA-AB-3009	4	161884919	168821502	4370	-0.0045
TCGA-AB-3009	4	168821570	168827950	17	-0.5949
TCGA-AB-3009	4	168828108	178890373	6262	9e-04
TCGA-AB-3009	4	178890407	178895907	12	-0.6324
TCGA-AB-3009	4	178896199	183954060	3840	-0.0137
TCGA-AB-3009	4	183954957	184029396	34	-0.3351
TCGA-AB-3009	4	184030863	186003688	1309	0.0482
TCGA-AB-3009	4	186004386	186004540	3	-1.3015
TCGA-AB-3009	4	186008402	190189043	2972	-0.0189
TCGA-AB-3009	4	190195118	190199264	4	-3.111
TCGA-AB-3009	4	190199771	191027923	386	0.0205
TCGA-AB-3009	5	15532	15719350	12212	0.0099
TCGA-AB-3009	5	15720075	15720478	8	-1.2034
TCGA-AB-3009	5	15720597	18924013	2050	-0.0269
TCGA-AB-3009	5	18924160	18955959	15	-0.818
TCGA-AB-3009	5	18958747	21449276	1487	-0.0378
TCGA-AB-3009	5	21451200	21452496	6	1.0816
TCGA-AB-3009	5	21454939	34147112	7933	-0.0124
TCGA-AB-3009	5	34147430	34229206	25	0.6263
TCGA-AB-3009	5	34229237	44265078	6260	9e-04
TCGA-AB-3009	5	44265089	44266991	2	-1.8604
TCGA-AB-3009	5	44268987	46271108	795	-0.0228
TCGA-AB-3009	5	46271930	46273502	6	-3.909
TCGA-AB-3009	5	46278212	57321646	5079	0.001
TCGA-AB-3009	5	57326027	57333533	32	1.8027
TCGA-AB-3009	5	57338357	98624358	23820	0.0014
TCGA-AB-3009	5	98625270	98644443	11	-0.6047
TCGA-AB-3009	5	98645068	98736773	60	-0.0123
TCGA-AB-3009	5	98753247	98759032	6	-1.4616
TCGA-AB-3009	5	98767744	101012118	1304	-0.0627
TCGA-AB-3009	5	101014287	101096488	54	0.4149
TCGA-AB-3009	5	101096584	101463189	278	-0.0383
TCGA-AB-3009	5	101464844	101465106	2	-1.4653
TCGA-AB-3009	5	101473187	103851221	1319	-0.0071
TCGA-AB-3009	5	103860373	103860548	3	-2.9503
TCGA-AB-3009	5	103860604	120398521	11363	-0.0022
TCGA-AB-3009	5	120399136	120432698	16	-0.7129
TCGA-AB-3009	5	120432884	171453152	33222	0.0048
TCGA-AB-3009	5	171456455	171590679	113	0.2636
TCGA-AB-3009	5	171593267	176055506	3100	0.0088
TCGA-AB-3009	5	176058228	176309171	128	0.3517
TCGA-AB-3009	5	176309854	179085185	1423	0.029
TCGA-AB-3009	5	179085205	179104133	24	0.5543
TCGA-AB-3009	5	179104532	180790320	915	0.0253
TCGA-AB-3009	6	149661	807008	556	0.0584
TCGA-AB-3009	6	808660	867007	50	0.4987
TCGA-AB-3009	6	867030	19040119	14190	0.0061
TCGA-AB-3009	6	19042181	19042818	3	-1.8798
TCGA-AB-3009	6	19044702	25450486	4664	0.015
TCGA-AB-3009	6	25455297	25485722	19	0.4601
TCGA-AB-3009	6	25486154	26704972	786	0
TCGA-AB-3009	6	26705106	26783667	35	-0.5099
TCGA-AB-3009	6	26798155	29837188	1436	0.0038
TCGA-AB-3009	6	29837314	29850380	18	-0.9529
TCGA-AB-3009	6	29871636	31286305	671	0.0806
TCGA-AB-3009	6	31286531	31296451	9	1.2798
TCGA-AB-3009	6	31309924	32431292	501	0.1718
TCGA-AB-3009	6	32431552	32570365	37	1.5143
TCGA-AB-3009	6	32573771	32690027	80	0.3067
TCGA-AB-3009	6	32690797	32690830	3	1.6388
TCGA-AB-3009	6	32692227	65333073	18046	9e-04
TCGA-AB-3009	6	65334050	65336942	6	0.3694
TCGA-AB-3009	6	65347544	65348992	2	-3.8885
TCGA-AB-3009	6	65350776	78962293	8933	-0.0119
TCGA-AB-3009	6	78962581	79035185	117	-0.6985
TCGA-AB-3009	6	79039234	92005578	8200	-0.0011
TCGA-AB-3009	6	92008916	92061840	48	-0.2941
TCGA-AB-3009	6	92062695	92762453	464	-0.0112
TCGA-AB-3009	6	92763966	92765000	3	-1.3104
TCGA-AB-3009	6	92766359	103734645	6765	-0.0241
TCGA-AB-3009	6	103734803	103762061	50	0.6253
TCGA-AB-3009	6	103765470	134266268	19086	-0.0031
TCGA-AB-3009	6	134269071	134269632	2	-2.8114
TCGA-AB-3009	6	134272072	156487398	15004	0.0038
TCGA-AB-3009	6	156488698	156520101	30	0.3684
TCGA-AB-3009	6	156520159	157779495	685	-0.0113
TCGA-AB-3009	6	157781264	157829617	8	0.9251
TCGA-AB-3009	6	157835571	162496847	3335	0.003
TCGA-AB-3009	6	162497492	162497976	6	-0.789
TCGA-AB-3009	6	162497989	162779001	227	-0.0392
TCGA-AB-3009	6	162782861	163052052	224	-1.172
TCGA-AB-3009	6	163053610	170363580	5296	0.0158
TCGA-AB-3009	6	170364300	170547624	82	0.3425
TCGA-AB-3009	6	170547955	171051005	242	0.0141
TCGA-AB-3009	7	43355	133775462	82132	0.0041
TCGA-AB-3009	7	133778429	133785211	8	0.6453
TCGA-AB-3009	7	133785309	133785796	10	1.1219
TCGA-AB-3009	7	133785899	133799197	25	0.4538
TCGA-AB-3009	7	133806244	141787130	5224	0.0139
TCGA-AB-3009	7	141787241	141882455	77	0.2741
TCGA-AB-3009	7	141882638	141951998	62	-0.0113
TCGA-AB-3009	7	141952110	141959449	5	-0.8818
TCGA-AB-3009	7	141959809	142474653	320	0.1494
TCGA-AB-3009	7	142474939	142488688	33	0.916
TCGA-AB-3009	7	142490900	143909445	837	0.0225
TCGA-AB-3009	7	143911624	144066947	39	-0.7053
TCGA-AB-3009	7	144074929	147660612	2362	0
TCGA-AB-3009	7	147660659	147662560	2	-2.4878
TCGA-AB-3009	7	147662579	147713980	42	-0.0209
TCGA-AB-3009	7	147713993	147715896	5	-0.9461
TCGA-AB-3009	7	147716165	149561049	1078	0.0065
TCGA-AB-3009	7	149563894	149743104	80	0.2781
TCGA-AB-3009	7	149747872	154389895	2880	0.0193
TCGA-AB-3009	7	154393171	154399613	4	-2.8595
TCGA-AB-3009	7	154400830	159058062	3179	0.0269
TCGA-AB-3009	7	159059402	159127004	63	0.4401
TCGA-AB-3009	8	31254	593041	327	0.0837
TCGA-AB-3009	8	594944	595908	10	2.5212
TCGA-AB-3009	8	601043	7394684	7578	0.0062
TCGA-AB-3009	8	7397885	8102525	159	0.3074
TCGA-AB-3009	8	8102831	12216009	3236	0.0413
TCGA-AB-3009	8	12216848	12234298	8	-1.6977
TCGA-AB-3009	8	12234400	12241813	12	-0.252
TCGA-AB-3009	8	12241976	12558929	115	0.3721
TCGA-AB-3009	8	12559835	12646389	66	-0.0036
TCGA-AB-3009	8	12648728	12649178	2	-2.5028
TCGA-AB-3009	8	12652105	16010179	3234	-0.0308
TCGA-AB-3009	8	16010732	16010949	2	-1.6841
TCGA-AB-3009	8	16012193	24974522	7086	0.0045
TCGA-AB-3009	8	24974577	24978537	9	-0.8789
TCGA-AB-3009	8	24979285	38286300	8542	-0.0028
TCGA-AB-3009	8	38286352	38290509	6	1.0046
TCGA-AB-3009	8	38291087	39230659	508	0.0135
TCGA-AB-3009	8	39235603	39386965	59	-2.7436
TCGA-AB-3009	8	39388299	40181978	587	0.0106
TCGA-AB-3009	8	40181997	40183944	6	0.7663
TCGA-AB-3009	8	40184148	59315545	9509	0.0057
TCGA-AB-3009	8	59315957	59319187	7	-0.9632
TCGA-AB-3009	8	59319398	115563823	33724	-0.0028
TCGA-AB-3009	8	115565513	115641731	79	-0.4744
TCGA-AB-3009	8	115650697	121812077	4181	-0.0019
TCGA-AB-3009	8	121814813	121815232	3	-1.4032
TCGA-AB-3009	8	121818123	129756266	5622	0.0055
TCGA-AB-3009	8	129763135	129764085	2	-3.759
TCGA-AB-3009	8	129777454	137840692	6216	0.0089
TCGA-AB-3009	8	137840725	137841087	5	-1.1354
TCGA-AB-3009	8	137841356	144284479	4381	0.0495
TCGA-AB-3009	8	144290410	144310383	15	0.7589
TCGA-AB-3009	8	144310437	144698669	118	-0.0123
TCGA-AB-3009	8	144698815	144727653	17	0.5351
TCGA-AB-3009	8	144728018	145232410	142	0.077
TCGA-AB-3009	8	145232496	145760746	112	0.3976
TCGA-AB-3009	8	145764544	146237167	216	0.0757
TCGA-AB-3009	8	146239140	146298155	30	0.5997
TCGA-AB-3009	9	46587	38805380	31181	-0.0091
TCGA-AB-3009	9	38808958	39214984	56	0.2968
TCGA-AB-3009	9	39215307	43602726	150	0.0681
TCGA-AB-3009	9	43612162	43790346	26	-0.4672
TCGA-AB-3009	9	43800186	44469328	49	0.0051
TCGA-AB-3009	9	44629223	44855737	37	-0.8775
TCGA-AB-3009	9	44866028	45706444	50	0.2548
TCGA-AB-3009	9	45723034	45915244	4	1.5933
TCGA-AB-3009	9	46038854	79120919	6266	0.01
TCGA-AB-3009	9	79122346	79125487	19	0.57
TCGA-AB-3009	9	79125631	79766774	553	-0.001
TCGA-AB-3009	9	79768310	79776348	27	-0.3579
TCGA-AB-3009	9	79776364	93609773	9728	0.0011
TCGA-AB-3009	9	93610132	93620491	13	0.599
TCGA-AB-3009	9	93620748	107361710	9197	-0.0021
TCGA-AB-3009	9	107363833	107364803	14	-0.741
TCGA-AB-3009	9	107364969	129627771	16417	-3e-04
TCGA-AB-3009	9	129627918	129652314	13	0.8104
TCGA-AB-3009	9	129655445	138218732	4985	0.0206
TCGA-AB-3009	9	138218747	138273821	46	0.4652
TCGA-AB-3009	9	138274187	139052984	352	0.0274
TCGA-AB-3009	9	139053278	139120635	24	0.5517
TCGA-AB-3009	9	139120828	140255833	277	0.0519
TCGA-AB-3009	9	140273003	140290805	7	0.7684
TCGA-AB-3009	9	140290821	140993462	339	0.0448
TCGA-AB-3009	9	140994213	141091394	67	0.3974
TCGA-AB-3009	10	72809	2967419	2356	0.0265
TCGA-AB-3009	10	2967596	2967899	4	-1.1795
TCGA-AB-3009	10	2968999	3943279	919	0.0175
TCGA-AB-3009	10	3946610	3949016	9	0.7423
TCGA-AB-3009	10	3949293	5617550	1459	-0.023
TCGA-AB-3009	10	5619866	5619893	3	1.3322
TCGA-AB-3009	10	5619953	27223903	16485	-4e-04
TCGA-AB-3009	10	27225904	27228439	11	0.7092
TCGA-AB-3009	10	27228452	27631398	215	0.0138
TCGA-AB-3009	10	27631907	27633104	4	-1.016
TCGA-AB-3009	10	27633454	32951737	3889	-0.006
TCGA-AB-3009	10	32952337	32953368	12	-0.671
TCGA-AB-3009	10	32953397	35220151	1611	0.0155
TCGA-AB-3009	10	35222113	35279387	34	0.3445
TCGA-AB-3009	10	35280191	42719749	2195	0.0019
TCGA-AB-3009	10	42720673	42763230	5	0.9779
TCGA-AB-3009	10	42767643	43612609	542	0.0108
TCGA-AB-3009	10	43612872	43614348	16	0.6487
TCGA-AB-3009	10	43615505	46691480	1797	0.0034
TCGA-AB-3009	10	46917315	46943377	5	-1.1111
TCGA-AB-3009	10	46946708	57180153	6079	-0.0036
TCGA-AB-3009	10	57180241	57180317	3	-2.3963
TCGA-AB-3009	10	57180321	61741249	3360	-0.0474
TCGA-AB-3009	10	61743189	61743792	2	-1.6075
TCGA-AB-3009	10	61743852	67307936	3709	-0.009
TCGA-AB-3009	10	67307951	67322795	27	0.4371
TCGA-AB-3009	10	67322926	70614782	2116	-0.0285
TCGA-AB-3009	10	70616199	70616517	2	1.2966
TCGA-AB-3009	10	70618691	70775969	92	-0.0833
TCGA-AB-3009	10	70777713	70783580	6	0.7392
TCGA-AB-3009	10	70787518	72417554	1257	0.0077
TCGA-AB-3009	10	72419260	72558198	119	0.3089
TCGA-AB-3009	10	72559067	105168026	20782	0.0029
TCGA-AB-3009	10	105169705	105216608	30	0.3503
TCGA-AB-3009	10	105216847	134578880	21508	0.0045
TCGA-AB-3009	10	134579889	134761130	74	0.4007
TCGA-AB-3009	10	134761172	135506704	306	0.0865
TCGA-AB-3009	11	198510	455523	104	0.34
TCGA-AB-3009	11	456012	1703803	427	0.0422
TCGA-AB-3009	11	1707093	1904982	63	0.3719
TCGA-AB-3009	11	1905173	3346743	683	0.0395
TCGA-AB-3009	11	3363765	3363846	2	-1.1534
TCGA-AB-3009	11	3364167	3586442	93	0.0223
TCGA-AB-3009	11	3586829	3672313	49	0.3116
TCGA-AB-3009	11	3672751	4232135	359	0.0081
TCGA-AB-3009	11	4232627	4234748	5	-1.1407
TCGA-AB-3009	11	4235775	4737868	453	0.0321
TCGA-AB-3009	11	4738639	4739291	5	-0.9315
TCGA-AB-3009	11	4739539	4970243	234	0.0391
TCGA-AB-3009	11	4970277	4973863	20	-0.4486
TCGA-AB-3009	11	4973878	5208393	213	0.0096
TCGA-AB-3009	11	5208499	5209370	2	-1.7328
TCGA-AB-3009	11	5209592	6029788	809	0.0045
TCGA-AB-3009	11	6030224	6037455	8	0.6513
TCGA-AB-3009	11	6047926	6107790	46	0.0082
TCGA-AB-3009	11	6108269	6120647	7	0.7155
TCGA-AB-3009	11	6122094	6945451	603	-0.0031
TCGA-AB-3009	11	6947761	6948775	4	1.1486
TCGA-AB-3009	11	6954728	18949072	8563	0.0013
TCGA-AB-3009	11	18949109	18961988	55	0.3406
TCGA-AB-3009	11	18962016	21496432	2330	-0.0094
TCGA-AB-3009	11	21496506	21497779	6	-0.8745
TCGA-AB-3009	11	21502608	21714552	162	-0.0175
TCGA-AB-3009	11	21722962	21722976	2	-1.3166
TCGA-AB-3009	11	21723140	21885768	139	-0.0173
TCGA-AB-3009	11	21887109	21980984	55	0.5818
TCGA-AB-3009	11	21981682	44670789	15824	-0.0116
TCGA-AB-3009	11	44671894	44694675	19	0.5408
TCGA-AB-3009	11	44694840	55376280	3311	0.0082
TCGA-AB-3009	11	55376498	55460683	53	-0.5858
TCGA-AB-3009	11	55460788	55721477	202	-0.1331
TCGA-AB-3009	11	55721679	55726609	8	-0.9786
TCGA-AB-3009	11	55727032	55967326	156	-0.0337
TCGA-AB-3009	11	55967446	56007543	27	-0.4341
TCGA-AB-3009	11	56010199	59008439	1785	0.0033
TCGA-AB-3009	11	59009805	59014969	6	-1.1418
TCGA-AB-3009	11	59019961	67338582	3991	0.0204
TCGA-AB-3009	11	67343421	67770592	141	0.2777
TCGA-AB-3009	11	67770619	90532196	14158	7e-04
TCGA-AB-3009	11	90533877	90538099	4	-1.2502
TCGA-AB-3009	11	90538258	134944770	31928	0.0051
TCGA-AB-3009	12	150442	2251753	1285	0.0868
TCGA-AB-3009	12	2251866	2251881	2	-1.7238
TCGA-AB-3009	12	2252434	3352183	796	0.0184
